sno,name,rating,price,num_reviews,Description,ASIN,Manufacturer,url
1,HP X1000 Wired USB,4.3,249,"58,260","HP X1000 Wired USB Mouse with 3 Handy Buttons, Fast-Moving Scroll Wheel and Optical Sensor works on most Surfaces, 3 years warranty",B009VCGPSY,‎HP,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NjQ3MjQwNTcxMTY1MjAwOjE2OTEyNzMwODI6c3BfYXRmOjIwMDQ2MzE0NDUwNjk4OjowOjo&url=%2FHP-X1000-Wired-Mouse-Black%2Fdp%2FB009VCGPSY%2Fref%3Dsr_1_1_sspa%3Fcrid%3D39QCIRY4VLJHD%26keywords%3Dmouse%26qid%3D1691273082%26sprefix%3Dmouse%252Caps%252C208%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
2,HP 150 Wireless,4.0,448,"5,772",,B09GB5B4BK,‎HP Inc.,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NjQ3MjQwNTcxMTY1MjAwOjE2OTEyNzMwODI6c3BfYXRmOjIwMDQ2MzE0NDUwNzk4OjowOjo&url=%2FHP-150-Ambidextrous-Wireless-Mouse%2Fdp%2FB09GB5B4BK%2Fref%3Dsr_1_2_sspa%3Fcrid%3D39QCIRY4VLJHD%26keywords%3Dmouse%26qid%3D1691273082%26sprefix%3Dmouse%252Caps%252C208%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
3,Logitech B170 Wireless,4.3,493,"66,939","The Logitech B170 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design. This wireless mouse offers an excellent 10 meters reliable wireless range along with 1000 dpi. You can easily pair it with your system by just plugging in a tiny wireless receiver into the USB slot. This wireless mouse works on the latest 2.4 GHz wireless technology and offers universal compatibility with Windows, Mac OS and Chrome OS. Battery Type: AA+. Specification:  Dimensions: Mouse (height x width x depth): 97.7 mm (3.85 in) x 61.5 mm (2.42 in) x 35.2 mm (1.39 in) Mouse Weight: 70.5 g (2.49 oz) with battery Nano receiver (height x width x depth): 6.6 mm (0.24 in) x 14.4 mm (0.57 in) x 18.7 mm (0.74 in) Nano receiver Weight: 2.0 g (0.07 oz) System Requirements:  Windows 7, Windows 8, Windows 10 or later  Mac OS X 10.8 or later  Chrome OS  Linux kernel 2.6+  USB port Technical Specifications: Connection Type: 2.4 Ghz wireless Wireless range: 10 m (33 ft) Battery: 1 x AA Battery life: 1 year Required: available USB port, Windows 7, 8, 10 or later, macOS 10.5 or later, Chrome OS, Linux Kernel 2.6+",B01J0XWYKQ,‎Logitech,https://www.amazon.in/Logitech-B170-Wireless-Mouse-Black/dp/B01J0XWYKQ/ref=sr_1_3?crid=39QCIRY4VLJHD&keywords=mouse&qid=1691273082&sprefix=mouse%2Caps%2C208&sr=8-3
4,Zebronics Zeb-Power Wired USB,4.0,97,"6,449",,B07L9FW9GF,‎SINOMAX ELECTRONICS LIMITED,https://www.amazon.in/Zebronics-Zeb-Power-Wired-Mouse-Black/dp/B07L9FW9GF/ref=sr_1_4?crid=39QCIRY4VLJHD&keywords=mouse&qid=1691273082&sprefix=mouse%2Caps%2C208&sr=8-4
5,Dell MS116 1000Dpi USB Wired Optical,4.4,277,"36,436",,B01HJI0FS2,‎Dell India Pvt Ltd,https://www.amazon.in/Dell-MS116-1000DPI-Wired-Optical/dp/B01HJI0FS2/ref=sr_1_5?crid=39QCIRY4VLJHD&keywords=mouse&qid=1691273082&sprefix=mouse%2Caps%2C208&sr=8-5
6,ZEBRONICS-Transformer-M with a High-Performance Gold-Plated USB,4.3,297,"20,768",,B0819HZPXL,‎ZEBRONICS INDIA PVT LTD,https://www.amazon.in/Zebronics-Zeb-Transformer-M-Optical-Gaming-Effect/dp/B0819HZPXL/ref=sr_1_6?crid=39QCIRY4VLJHD&keywords=mouse&qid=1691273082&sprefix=mouse%2Caps%2C208&sr=8-6
7,Redgear A-17 Gaming,4.2,238,"2,070",,B097RH8XTG,‎Imagine Marketing Ltd,https://www.amazon.in/Redgear-Gaming-Mouse-Lighting-Braided/dp/B097RH8XTG/ref=sr_1_7?crid=39QCIRY4VLJHD&keywords=mouse&qid=1691273082&sprefix=mouse%2Caps%2C208&sr=8-7
8,Portronics Toad 23 Wireless Optical,4.1,290,"5,560",,B0B296NTFV,‎Portronics,https://www.amazon.in/Portronics-Wireless-Optical-Orientation-Adjustable/dp/B0B296NTFV/ref=sr_1_8?crid=39QCIRY4VLJHD&keywords=mouse&qid=1691273082&sprefix=mouse%2Caps%2C208&sr=8-8
9,HP X1000 Wired USB,4.3,249,"58,260","HP X1000 Wired USB Mouse with 3 Handy Buttons, Fast-Moving Scroll Wheel and Optical Sensor works on most Surfaces, 3 years warranty",B009VCGPSY,‎HP,https://www.amazon.in/HP-X1000-Wired-Mouse-Black/dp/B009VCGPSY/ref=sr_1_9?crid=39QCIRY4VLJHD&keywords=mouse&qid=1691273082&sprefix=mouse%2Caps%2C208&sr=8-9
10,Lenovo 300 Wired Plug & Play USB,4.4,248,"27,455",,B073BRXPZX,‎Lenovo,https://www.amazon.in/Lenovo-GX30M39704-300-USB-Mouse/dp/B073BRXPZX/ref=sr_1_10?crid=39QCIRY4VLJHD&keywords=mouse&qid=1691273082&sprefix=mouse%2Caps%2C208&sr=8-10
